name,image,description
Butane,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Butane-3D-balls.png/330px-Butane-3D-balls.png,"Butane is an organic compound with the formula C₄H₁₀ that is an alkane with four carbon atoms. Butane is a gas at room temperature and atmospheric pressure."
Toluene,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Toluol.svg/160px-Toluol.svg.png,"Toluene, also known as toluol, is an aromatic hydrocarbon. It is a colorless, water-insoluble liquid with the smell associated with paint thinners."
Phenol,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Phenol-2.svg/168px-Phenol-2.svg.png,"Phenol is an aromatic organic compound with the molecular formula C₆H₅OH. It is a white crystalline solid that is volatile. The molecule consists of a phenyl group bonded to a hydroxyl group."
Urea,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Urea_3D_ball.png/250px-Urea_3D_ball.png,"Urea, also known as carbamide, is an organic compound with chemical formula CO(NH₂)₂. This amide has two –NH₂ groups joined by a carbonyl (C=O) functional group."
Nitric Acid,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Nitric-acid-3D-balls-B.png/250px-Nitric-acid-3D-balls-B.png,"Nitric acid is a highly corrosive mineral acid. The compound is colorless, but older samples tend to acquire a yellow cast due to decomposition into oxides of nitrogen and water."
Hydrochloric Acid,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Hydrochloric_acid_dissociated.svg/500px-Hydrochloric_acid_dissociated.svg.png,"Hydrochloric acid, also known as muriatic acid, is an aqueous solution of hydrogen chloride. It is a colorless solution with a distinctive pungent smell."
Sodium Hydroxide,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Sodium-hydroxide-crystal-3D-vdW.png/500px-Sodium-hydroxide-crystal-3D-vdW.png,"Sodium hydroxide, also known as lye and caustic soda, is an inorganic compound with the formula NaOH. It is a white solid ionic compound consisting of sodium cations Na⁺ and hydroxide anions OH⁻."
Calcium Carbonate,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Calcium_carbonate_structure.svg/500px-Calcium_carbonate_structure.svg.png,"Calcium carbonate is a chemical compound with the formula CaCO₃. It is a common substance found in rocks as the minerals calcite and aragonite and is the main component of pearls and the shells of marine organisms, snails, and eggs."
Potassium Permanganate,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Potassium-permanganate-2004-unit-cell-3D-balls.png/500px-Potassium-permanganate-2004-unit-cell-3D-balls.png,"Potassium permanganate is a chemical compound with the formula KMnO₄. It is a salt consisting of K⁺ and MnO₄⁻ ions. Formerly known as permanganate of potash or Condy's crystals, it is a strong oxidizing agent."
Iron Oxide,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Haematite-unit-cell-3D-balls.png/500px-Haematite-unit-cell-3D-balls.png,"Iron(III) oxide or ferric oxide is the inorganic compound with the formula Fe₂O₃. It is one of the three main oxides of iron, the other two being iron(II) oxide (FeO), which is rare; and iron(II,III) oxide (Fe₃O₄), which also occurs naturally as the mineral magnetite."
Copper Sulfate,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Copper%28II%29-sulfate-pentahydrate-xtal-1985-Cu-coord-3D-bs-17.png/500px-Copper%28II%29-sulfate-pentahydrate-xtal-1985-Cu-coord-3D-bs-17.png,"Copper(II) sulfate, also known as copper sulphate, are the inorganic compounds with the chemical formula CuSO₄(H₂O)ₓ, where x can range from 0 to 5."
Silver Nitrate,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Silver-nitrate-2D.svg/330px-Silver-nitrate-2D.svg.png,"Silver nitrate is an inorganic compound with chemical formula AgNO₃. This salt is a versatile precursor to many other silver compounds, such as those used in photography."
Magnesium Oxide,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Magnesium-oxide-3D-vdW.png/500px-Magnesium-oxide-3D-vdW.png,"Magnesium oxide (MgO), or magnesia, is a white hygroscopic solid mineral that occurs naturally as periclase and is a source of magnesium."
Zinc Chloride,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Kristallstruktur_Zinkchlorid.png/500px-Kristallstruktur_Zinkchlorid.png,"Zinc chloride is the name of chemical compounds with the formula ZnCl₂ and its hydrates. Zinc chlorides, of which nine crystalline forms are known, are colorless or white, and are highly soluble in water."
